token_id,category,mu_0,mu_1
464,content,0.38758266,0.030854046
465,content,0.36679745,0.4191431
466,content,0.3655552,0.44375435
467,content,0.39338887,0.112193584
468,content,0.25684762,-0.803049
469,content,0.38030913,0.5883493
470,content,0.8406407,-1.0414331
471,content,0.4261546,-0.018218068
472,content,0.34308866,0.49281153
473,content,1.019882,-0.5418211
474,content,0.38676214,0.01440141
475,content,0.23304333,-0.6780683
476,content,0.7304123,-0.5326064
477,content,0.38633648,-0.003513443
478,content,0.3892191,0.0044810483
479,content,0.36727837,-0.30732477
480,content,0.37762612,-0.334841
481,content,0.25855574,-0.80470127
482,content,0.34802642,0.5333953
483,content,0.4323459,0.17230366
484,content,0.38857895,-0.0027318022
485,content,-0.053794947,0.53340936
486,content,0.29854336,-0.0033204125
487,content,0.3286343,0.4739268
488,content,0.39310262,-0.039185904
489,content,0.9373234,-0.6549926
490,content,0.4268341,-0.15234631
491,content,0.38513786,0.014724468
492,content,0.0104198875,-0.005013423
493,content,0.24745792,-0.094015114
494,content,0.30530053,0.8874969
495,content,0.2873834,0.57089496
496,content,0.385647,-0.1671851
497,content,0.38624796,0.0045471727
498,content,0.08749564,1.298104
499,content,0.36493784,-0.3725209
