token_id,category,mu_0,mu_1
412,content,0.2508186,0.95532435
413,content,0.28654596,-0.48577335
414,content,0.38885725,-0.010304206
415,content,0.38763517,0.031003043
416,content,0.3280772,0.4271974
417,content,0.38502857,0.04178726
418,content,0.3508343,-0.30496478
419,content,0.90254056,-0.7551031
420,content,0.5086315,0.17428596
421,content,0.16997336,-0.037436344
422,content,0.3445535,0.44670922
423,content,0.2670579,-0.8084284
424,content,0.33929208,-0.007326815
425,content,0.3820273,-0.030057704
426,content,-0.19733877,1.1347047
427,content,0.39265501,0.14916022
428,content,0.25089908,-0.75950307
429,content,0.24983224,-0.007151236
430,content,0.33818173,0.46720508
431,content,0.32597473,0.721527
432,content,0.34139088,-0.83383656
433,content,0.34107557,0.50729585
434,content,0.3875311,-0.0040793316
435,content,0.25810745,0.532971
436,content,-0.16264701,1.1156304
437,content,0.38983953,-0.04504792
438,content,-0.041624937,-0.13732748
439,content,-0.062299605,1.1073499
440,content,0.25410983,1.037422
441,content,0.33634576,0.4752712
442,content,0.39633125,-0.12452614
443,content,0.38405353,-0.0008102485
444,content,0.31282458,0.4961373
445,content,0.31020704,-0.9281406
446,content,0.32739934,0.7201632
447,punct,-0.010932618,0.0071220445
448,content,0.37798923,-0.4241945
449,content,0.21549259,0.6154508
450,content,0.379986,-0.35980263
451,content,0.33802822,0.5561952
452,content,0.38443506,0.009728356
453,content,0.371935,-0.07982045
454,content,0.39275083,-0.0056346375
455,content,-0.01599126,0.8975852
456,content,0.4690305,0.07928728
457,content,1.1223035,-0.6613964
458,content,0.38698307,0.010740683
459,content,0.29323247,-0.52149004
460,content,0.26314977,-0.75564635
461,content,0.3601881,0.4344779
462,content,0.3877746,-0.022773646
463,content,0.38451326,-0.0066941334
464,content,0.39965013,0.0012863309
465,content,0.35785696,0.4913863
466,content,0.3521966,0.49396196
467,content,0.40345144,0.17511117
468,content,0.27011326,-0.9142628
469,content,0.37664622,0.6860844
470,content,0.9377594,-1.1504679
471,content,0.45905402,-0.019797778
472,content,0.32839462,0.5393198
