token_id,category,mu_0,mu_1,mu_2,mu_3,mu_4,mu_5,mu_6,mu_7,mu_8,mu_9,mu_10,mu_11,mu_12,mu_13,mu_14,mu_15,mu_16,mu_17,mu_18,mu_19,mu_20,mu_21,mu_22,mu_23
53,letter,-0.030279305,-0.101805896,0.16906174,0.43561456,-0.05869878,-0.22376637,-0.8407521,0.34085834,0.2347881,0.3535109,-0.17451537,-0.0762466,0.25071558,0.3672911,0.78442913,0.25809938,-0.2405425,-0.18049835,0.78212106,-0.3314187,0.5835045,-0.3337509,-0.023989996,-0.0712471
54,letter,0.23266122,-0.28407598,0.14351188,0.14767572,-0.04086065,0.15542498,-0.06623523,0.6202907,-0.0011485803,0.7310731,0.6076827,-0.64785886,0.603524,-0.13082114,0.56348515,0.16217071,-0.22139458,-0.5581516,1.0051326,-0.30081564,0.40852466,-0.17772594,-0.15034966,-0.015578424
55,letter,0.06930697,-0.18267426,-0.33359945,-0.6030613,0.1587435,0.68867564,-1.2912232,0.027005896,-0.45450002,1.1575053,0.0116878785,0.22130097,0.23635776,-0.09249064,0.4220083,0.025114287,0.30733278,0.07152689,0.52244395,-0.22270004,0.63504034,0.3996017,0.14677523,0.14072888
56,letter,0.012627611,0.18176486,0.5124016,0.27713957,0.06411452,-0.19530074,-0.38585067,-0.22317687,0.08401382,0.7502011,-0.04503578,-0.81295186,-0.052236333,-0.22930785,0.9020197,0.10551786,0.29871058,-0.020471869,0.51484317,-0.07974423,0.51056296,-0.49249002,0.34406888,0.001008104
57,letter,-0.33708432,-0.11220677,0.46207047,0.3189937,-0.0448203,0.14649484,-0.47053844,0.5938242,-0.010213373,0.4854198,-0.28279454,-1.246429,-0.07239913,0.3517154,0.80983394,0.897763,0.077821426,0.11254334,0.3423178,0.22028443,0.045281332,-0.93350106,-0.13086872,0.46617597
58,punct,-0.019378304,0.007646797,-0.019461142,-0.030321259,-0.0027983554,-0.0032664072,-0.016270665,0.00057311106,0.0057750335,0.014889877,-0.022793826,-0.02060725,-0.019251322,0.01176754,0.011562677,-0.032489203,0.05108444,0.012015347,-0.01617205,0.0034588762,0.014158483,-0.015938578,-0.043269437,-0.04432856
59,punct,-0.0066109896,0.0040018368,-0.015305045,-0.032130804,0.009823145,-0.003535695,-0.0074081323,-0.0046824887,-0.0051129023,-0.0017448863,0.0077749235,0.017960725,-0.020431425,0.03889454,0.017144293,0.014724644,-0.03491948,0.023232011,-0.0043230024,0.019737212,-0.022630922,-0.015641803,0.011655152,0.0053646187
60,punct,0.035554375,-0.005511605,0.010338089,-0.0034207993,-0.004654484,0.01990648,0.024936637,0.022959342,-0.013867085,-0.0016852022,0.036167737,0.00017709332,-0.0077367364,0.004573549,-0.0097797,0.023700126,0.018472105,0.01935618,-0.005360544,0.0074843196,-0.003809711,-0.0021174785,0.01714301,-0.0012324395
61,punct,-0.0029543575,-0.0036603613,0.0009905496,0.009089192,-0.0074647306,0.0019902496,-0.009574245,0.0129325995,-0.034186207,0.04294438,0.0014239354,0.026009016,0.01971026,-0.012604419,-0.016507523,0.003827127,0.010423816,0.014393698,-0.013181284,-0.024395127,-0.028703673,-0.045320906,-0.016107555,-0.009952277
62,punct,-0.018252395,-0.018754926,-0.014050417,-0.04201603,0.02566413,-0.01584944,0.005900553,4.888774e-05,0.009948455,0.0018263143,0.0030315062,-0.015869047,-0.0029827994,0.037279513,0.008380368,-0.031790435,0.051697757,-0.0086520165,0.0073412345,-0.009464277,-0.009487656,-0.004550477,-0.012575362,0.041059837
63,punct,-0.90325195,0.5859275,-1.4492139,-0.18414865,0.05328833,0.006334542,-1.841086,0.7972776,1.3466719,0.42343584,1.2143925,-0.28192168,1.237333,-0.833522,2.0586724,-0.2972415,1.0272604,-0.80538195,-1.4453351,0.98423773,1.2096095,0.7477967,0.09495662,-0.19724701
