token_id,category,mu_0,mu_1,mu_2,mu_3,mu_4
300,content,-0.1024509,0.006180854,0.8459259,-0.2319327,-0.76139605
301,content,0.20151094,0.03956226,0.5071072,0.07259661,-0.7675297
302,content,-0.6824652,-0.35640493,-0.109240346,-0.79086643,0.06868652
303,content,-0.5976517,-0.7598116,-0.24340028,-0.15816532,0.05089103
304,content,-0.21465392,0.24215011,0.8112692,-0.29853794,-0.8895568
305,content,-0.17542635,-1.0285021,0.1161843,-0.15770935,0.010279632
306,content,-0.21516594,0.3570454,-0.08766072,0.47255534,-0.76409876
307,content,-0.36980626,0.008904363,-0.9779812,-0.36923912,0.100785926
308,content,-0.2500712,0.05277862,0.8247866,-0.27377325,-0.7059269
309,content,-0.2771857,-0.029076766,0.9748234,-0.49443924,-0.5897327
310,content,-0.11162279,-0.7667527,0.858849,0.07955268,-0.6263376
311,content,-0.41587287,0.11680021,0.746174,-0.32223973,-0.68065995
312,content,-0.11925443,-0.49633303,0.5955331,0.36132607,-0.6403557
313,content,-0.23562278,-0.6975309,0.671431,0.17064822,-0.53689957
314,content,-0.40689105,-0.65324605,-0.20720153,-0.3434816,0.04507336
315,content,-0.38888603,-0.8317133,0.60015726,0.10409978,-0.45662105
316,content,-0.17358084,-0.94016635,0.45983684,0.3575939,-0.42241538
317,content,-0.046339598,0.6137131,0.3244029,-0.20089167,-0.7831939
318,function,-0.13616861,0.15852933,-1.1401434,-0.3679811,0.074419364
319,content,0.46343148,0.47317928,-1.0446639,0.050126668,-0.18992513
320,content,-0.08476315,-0.9075108,0.59734935,0.10490364,-0.47383457
321,content,-0.17683817,-0.942432,0.39806235,0.35876143,-0.4034826
322,content,-0.38786414,-1.0226039,0.31156594,0.3561738,-0.16960591
323,content,-0.15125622,-0.79723364,0.3903773,0.44919607,-0.53158367
324,content,-0.3052167,-0.8482858,0.5458941,0.31125638,-0.41299066
325,content,-0.16610827,-1.0032924,0.22011347,0.11605915,-0.18643737
326,content,0.10056196,-0.22578502,-0.96543145,0.0124149695,0.066924416
327,content,-0.37055373,0.22813267,0.7183413,-0.27723676,-0.66395015
328,content,-0.39911014,-0.8927073,0.591775,0.102291904,-0.4033616
329,function,0.4421799,0.33872056,-0.98828936,-0.26114178,-0.071523495
330,content,-0.17424257,-0.5725881,0.71018255,0.17640656,-0.6031791
331,content,-0.044576995,-0.15434437,0.7209111,0.09691137,-0.904294
332,content,-0.29359582,-1.1566818,0.39915124,0.22065687,-0.20934406
333,content,-0.14835797,-1.0455852,0.38453507,0.25387433,-0.27653003
334,content,0.107271746,-0.8640039,0.90475243,-0.5142973,-0.19912745
